ID,actor,domain,capability,web route,mobile route,web source,mobile source,API methods/paths,entitlement,web fields/actions,mobile fields/actions,loading/empty/error states,test coverage,status,severity,evidence,recommended action
AUTH-01,Public,Authentication,Register,/register,/register,src/features/auth,lib/features/auth,POST /api/auth/register,Public,"email; password; profile; validation","same outcome and validation flow",Implemented in both,Runtime pending,Complete,None,"router and auth datasource",Keep and add contract tests
AUTH-02,Public,Authentication,Login and session,/login,/login,src/features/auth,lib/features/auth,"POST /api/auth/login; refresh; logout",Public,"login; refresh; logout","login; refresh; logout; session restore",Implemented in both,Runtime pending,Complete,None,"mobile auth datasource and web auth hooks",Keep
AUTH-03,Public,Authentication,Forgot password verification and reset,/forgot-password,/forgot-password,src/features/auth,lib/features/auth/presentation/screens/forgot_password_screen.dart,"POST /api/auth/forgot-password/send-code; verify-code; reset",Public,Three web steps,Combined native send-code and reset flow,Implemented in both,Runtime pending,Equivalent,Low,"mobile combines the web pages into one stateful flow",Add API contract tests for invalid and expired codes
AUTH-04,User,Account lifecycle,Account deletion request,/settings/account,/settings/account-deletion,src/features/settings,lib/features/settings,"POST /api/users/me/account-deletion-request",Authenticated,Request and status,Request and submitted state,Implemented in both,Runtime pending,Complete,High,"mobile account deletion request screen calls request endpoint",Keep
AUTH-05,Public,Account lifecycle,Verify account deletion,/account-deletion/verify,/account-deletion/verify,src/app/Router.tsx; src/shared/api/endpoints.ts,lib/features/auth/presentation/screens/account_deletion_verify_screen.dart,POST /api/auth/account-deletion-requests/verify,Public,Token verification and final result,Token verification final state and local session clear,Implemented in both,Widget and route tests,Complete,None,"exact public token contract and browser fallback documented in D-007",Keep
SUB-01,User,Subscription,Current subscription,/subscription,/subscription,src/features/subscriptions,lib/features/subscription,GET /api/subscriptions/me,Authenticated,"tier; status; expiry; AI quota","tier; status; expiry; AI quota",Implemented in both,Provider and widget tests,Complete,None,"DTO matches SubscriptionResponse including AiQuotaResponse",Keep
SUB-02,User,Subscription,Catalog and pricing,/pricing,/subscription,src/features/subscriptions,lib/features/subscription,GET /api/subscriptions/catalog,Authenticated,Plans and prices,Native catalog with server plans and prices,Implemented in both,Repository and widget tests,Complete,None,"mobile catalog datasource and checkout screen",Keep
SUB-03,User,Subscription,Purchase and promotion,/subscription,/subscription,src/features/subscriptions,lib/features/subscription,"POST /api/subscriptions/payment-orders; POST /api/subscriptions/promotions/validate",Authenticated,"choose plan; validate code; create payment order","choose plan; validate code; accept terms; create and open payment order",Implemented in both,Contract repository and widget tests,Complete,None,"native checkout contract verified",Keep
DASH-01,Athlete,Dashboard,Dashboard overview,/dashboard,/dashboard,src/features/dashboard,lib/features/dashboard,GET /api/dashboard,Authenticated,"today workout; metrics; alerts","today workout; metrics; calculators; navigation",Implemented in both,Existing widget tests,Complete,None,"mobile dashboard controller and screen",Run role/tier runtime regression
DASH-02,User,Notifications,Notification center,Header panel,/notifications,src/features/notifications,lib/features/notifications,"GET /api/notifications; PATCH read; PATCH read-all",Authenticated,"list; unread; deep links; read","list; unread; read; read-all; tested entity destinations and safe fallback",Implemented in both,Resolver tests,Complete,None,"challenge competition chat plan week day and relationship destinations mapped",Keep
